appraiser_name,study_id,paper_title,start_time,item_1,item_1_comment,item_2,item_2_comment,item_3,item_3_comment,item_4,item_4_comment,item_5,item_5_comment,item_6,item_6_comment,item_7,item_7_comment,item_8,item_8_comment,item_9,item_9_comment,item_10,item_10_comment,item_11,item_11_comment,item_12,item_12_comment,item_13,item_13_comment,item_14,item_14_comment,overall_comment,finish_time
Lorenzo Ricolfi,s_14,Associations between prenatal exposure to phthalates and birth weight: A  meta-analysis study,10:09,Yes,"The metafor package in the R statistical software (version 4.1.3; R Core Team [2022]) and the R Studio program were used to perform the meta-analysis (Viechtbauer, 2010).",No,,Yes,fig 1,No,,No,,Yes,Regression coefficients and their 95% CIs were pooled using fixed-effects or random-effects models according to heterogeneity. ,No,,No,,Yes,,Yes,"I 2 statistics was used to assess the heterogeneity between the included studies. For I 2 statistics, a value of 0% indicated no heterogeneity, 25% indicated low heterogeneity, 50% indicated moderate heterogeneity, and 75% indicated high heterogeneity (Higgins et al., 2011).",Yes,"To assess publication bias, funnel plots were used for each outcome.",Yes,"Sensitivity analyses were also performed, in which one study at a time was removed, and other studies were analyzed to estimate whether the results would be significantly influenced by a single study. Subgroup analysis was conducted according to the child’s sex, study region, and sampling time to explore the sources of heterogeneity. Sensitivity analysis was performed to examine the robustness of our results. The asymmetry of the funnel plot and significant Egger regression test indicated a potential publication bias.",No,Data will be made available on request.,No,,,10:19
Damien Beillouin,s_14,Associations between prenatal exposure to phthalates and birth weight: A  meta-analysis study,8:40,Yes,"The metafor package in the R statistical software (version 4.1.3; R Core Team [2022]) and the R Studio program were used to perform the meta-analysis (Viechtbauer, 2010)",No,no information on code/script,Yes,"Finally, the meta-analysis was based on thirty-six observational studies published between 2008 and 2022 (Botton et al., 2016, Casas et al., 2016, Chang et al., 2022, Chiu et al., 2018, Darvishmotevalli et al., 2021, de Cock et al., 2016, Goodrich et al., 2019, Govarts et al., 2016, Guo et al., 2020, Hlisníková et al., 2022, Hu et al., 2021, Huang et al., 2018, Huang et al., 2017, Jia et al., 2015, Kim et al., 2016, Lee et al., 2020, Lenters et al., 2016, Li et al., 2021, Messerlian et al., 2017, Minatoya et al., 2017, Nidens et al., 2021, Noor et al., 2019, Philippat et al., 2019, Philippat et al., 2012, Polańska et al., 2016, Sathyanarayana et al., 2016, Smarr et al., 2015, Stevens et al., 2022, Tsai et al., 2018, Uldbjerg et al., 2022, Watkins et al., 2016, Wolff et al., 2008, Wu et al., 2020, Zhang et al., 2018, Zhao et al., 2014, Zhu et al., 2018).",No,"not applicable? 
there are only cohort or cross sectional studies, thus only one effect size per study (implicit)",No,"not applicable? The authors used directly an information provided in the paper: ""To calculate the overall estimate, we extracted the regression coefficients and 95% CIs of the overall population for each study""",Yes,Table 2. Summary of meta-analysis results of the association between urinary phthalates metabolites and birth weight.,No,The only info we have: Pooled regression coefficients were used to express the combined association between prenatal phthalate exposure and birth weigh,No,not applicable. Only one effect size per study,Yes,Table 2. Summary of meta-analysis results of the association between urinary phthalates metabolites and birth weight.,Yes,Table 2. Summary of meta-analysis results of the association between urinary phthalates metabolites and birth weight.,Yes,Table 3. Subgroup associations of phthalates with birth weight,Yes,Table 2. Summary of meta-analysis results of the association between urinary phthalates metabolites and birth weight.,Yes,supp data,Yes,"The following information was extracted: first author, publication year, study area, type of study design, study period, source of study, sample size, maternal age, body mass index (BMI), gestational age, birth weight, sample type, sampling time, assessment methods, categories and concentrations of phthalates, geometric mean, detection limits of phthalates, rate of detection, regression coefficients (β) and their 95% confidence intervals (CIs), and covariates. If the studies reported crude and adjusted estimated effects simultaneously, the adjusted effect was selected. In studies where phthalate concentrations were reported in units such as ng/ml, μg/L, or ng/g Cr, we prioritized the choice of creatinine-corrected concentrations (ng/g Cr).",,9:01
Malgorzata Lagisz,s_14,Associations between prenatal exposure to phthalates and birth weight: A  meta-analysis study,8:15,Yes,,No,,Yes,,No,,No,,No,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,,8:28
 Kyle Morrison,s_14,Associations between prenatal exposure to phthalates and birth weight: A  meta-analysis study,11:06,Yes,Stata,No,Stata has code and click,Yes,21,No,,No,,No,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,11:10
Ayumi Mizuno,s_14,Associations between prenatal exposure to phthalates and birth weight: A  meta-analysis study,18:10,Yes,"[2.3. Statistical analysis]
The metafor package in the R statistical software (version 4.1.3; R Core Team [2022]) and the R Studio program were used to perform the meta-analysis (Viechtbauer, 2010).",No,,Yes,"[3.1. Characteristics and baseline data of the included studies]
Finally, the meta-analysis was based on thirty-six observational studies published between 2008 and 2022",No,,No,"[2.3. Statistical Analysis]
The statistical test was two-tailed, and P values < 0.05 indicated statistical significance. To calculate the overall estimate, we extracted the regression coefficients and 95% CIs of the overall population for each study. Pooled regression coefficients were used to express the combined association between prenatal phthalate exposure and birth weight.",Yes,"[2.3. Statistical analysis]
Regression coefficients and their 95% CIs were pooled using fixed-effects or random-effects models according to heterogeneity.",No,,No,,Yes,Fig. 4,Yes,I2,Yes,The asymmetry of the funnel plot and Egger regression test,Yes,,No,The authors said that data will be made available on request. But Appendix A. Supplementary material exists.,No,Maybe Not Applicalbe,,18:27
Simone Cardoso,s_15,Can individual protective measures safeguard cardiopulmonary health from air pollution? A systematic review and meta-analysis,15:55,Yes,"Methods section; subheading ""Quantitative data synthesis/statistical analysis"", last paragraph.",No,,Yes,Figure 1,No,,No,,Yes,"Methods section; subheading ""Quantitative data synthesis/statistical analysis"", first paragraph.",No,,No,,No,,Yes,"Methods section, subheading ""Quantitative data synthesis/statistical analysis"", 4th paragraph; Figure 2.",Yes,"Methods section, subheading ""Quantitative data synthesis/statistical analysis"", 5th paragraph; Appendix A, Supplementary data.",Yes,"Methods section, subheading ""Assessment of risk of bias in individual studies""; Appendix Table C, Supplementary data.",Yes,Table 2,Yes,,"The tables were large, taking up a significant part of the manuscript.",16:31
Kyle Morrison,s_15,Can individual protective measures safeguard cardiopulmonary health from air pollution? A systematic review and meta-analysis,13:51,Yes,,No,,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,14:00
Harriet Sleight,s_15,Can individual protective measures safeguard cardiopulmonary health from air pollution? A systematic review and meta-analysis,13:50,Yes,"All statistical analyses were performed in the metafor and meta packages in R, version 4.2.1.",No,The R packages used were stated but the code was not available. ,Yes,30 studies were included in the meta-analysis and this is stated in the PRISMA diagram (Figure 1). ,No,,No,,Yes,A random-effect meta-analysis was conducted,No,,No,,Yes,"Stated in the Abstract. Meta-analysis results showed a reduction in cardiopulmonary inflammation using air purifiers than in control groups (with sham/no filter) with a decrease in interleukin 6 by  0.247 μg/mL (95% confidence intervals [CI]= 0.413,  0.082). ",Yes,Heterogeneity was evaluated via Cochran's Q test and is reported in terms of tau^2 in Figure 2,Yes,Potential publication bias was examined using funnel plots and is presented in the supplementary materials in Figure C.,No,,No,Data for each eligible primary study included in the review are given in Table 2 but this does not include the data used to calculate effect sizes (standardised mean difference and confidence intervals). ,Yes,Variables extracted have not been explicitly described but can be inferred from column headings of Table 2 and methods text. ,,14:26
Kok Sin Woon,s_15,Can individual protective measures safeguard cardiopulmonary health from air pollution? A systematic review and meta-analysis,10:00,Yes,"The statistical analyses and graphics were performed using the metafor and meta packages in statistical software R, version 4.2.1​ (Section 2.6)",No,,Yes,"Finally, 90 studies were assessed in this study. Table 2 gives the detailed information of the 90 studies included in the systematic review (Appendix Table D). Forty of these studies evaluated the effects of air purifiers; thirty studies investigated the effects of cook stove changes; seventeen studies explored the effects of air-purifying respirators; and one study examined the effects of both air purifier and cook stove (Section 3.1)",Yes,In supplementary info (Appendix Table C),Yes,The effect estimates of each study were presented in the format of standardized mean difference and 95% confidence interval (CI)​(Section 2.6),Yes,"We conducted random-effect meta-analyses to pool the effect estimates of each study and account for within-study variance caused by chance, sampling error, and study heterogeneity (Section 2.6)",Yes,"We conducted random-effect meta-analyses to pool the effect estimates of each study and account for within-study variance caused by chance, sampling error, and study heterogeneity (Section 2.6)",Yes,"Given that a single study could contribute multiple effect sizes, we employed a robust variance estimation (RVE) method to account for the dependencies among effect sizes (Hedges et al., 2010). (Section 2.6)",Yes,"All meta-analyses, along with the GRADE results, are summarized in Fig. 2 and Appendix Table C. Air-purifying decreased the interleukin-6 (IL-6) by −0.247 (95% CI: 0.413, −0.082; Fig. 2 (a), Appendix Table C). Sub-group analysis by country of origin showed that air purifier reduced fractional exhaled nitric oxide (FeNO) by −0.208 (95% CI: 0.394, −0.022; Fig. 2 (b), Appendix Table C) in developing countries. (Section 3.6)",Yes,"We evaluated the heterogeneity of the studies via Cochran’s Q test, I2 statistics, and forest plots (Section 2.6)",Yes,Potential publication bias was visually examined with funnel plots (Section 2.6). The results are in supplementary info.,Yes,"The authors mention publication bias assessment using funnel plots, which is a type of sensitivity analysis. Appendix Figure C shows the funnel plots for detecting publication bias (Sedgwick, 2013). For studies on the effects of air purifier use on cardiopulmonary inflammation, publication bias appeared to be minimal (Eggers’ test, all p ≥ 0.05) and all results were clustered at the center of funnels and within the 95% confidence band",Yes,"We then grouped the studies according to the type of applied health-protective measures and health outcomes: air purifiers, air-purifying respirators, cookstove change, and each cardiopulmonary outcome (Appendix Table B)(Section 2.3)",Yes,Table 2 gives the detailed information of the 90 studies included in the systematic review ,"1. MATES is easier to be adopted if the authors clearly highlighted the statistical methodologies used in the methodology section. For example, this paper has Section 2.6 which clearly stated the step-by-step quantitative data synthesis/statistical analysis.",10:40
Verónica Ferreira,s_15,Can individual protective measures safeguard cardiopulmonary health from air pollution? A systematic review and meta-analysis,17:08,Yes,"'All statistical analyses and graphics were performed in the metafor and meta packages in statistical software R, version 4.2.1'",No,No code reported,Yes,Fig. 1,Yes,Not stated be we can count then from the figures,No,'with the effect estimates of each study presented in the format of standardized mean difference and 95% confidence interval (CI).',Yes,"'We conducted random-effect meta-analyses to pool the effect estimates of each study and account for within-study variance caused by chance, sampling error, and study heterogeneity.'",Yes,9%%CI associated with effect sizes in figures and results in the test,No,"Multiple effect sizes per study not mentioned in the text, but Table C suggest that multiple effects sizes per study",Yes,"'Air-purifying decreased the interleukin-6 (IL-6) by - 0.247 (95% CI: 0.413, - 0.082; Fig. 2 (a, Appendix Table C).'",Yes,"'We evaluated the heterogeneity of the studies via Cochran’s Q test, I2 statistics,'",Yes,"'Potential publication bias was visually examined with funnel plots'
Supplementary material",No,,No,No primary data,Yes,"Table 2, Table D",,17:21
Jelaine Gan,s_15,Can individual protective measures safeguard cardiopulmonary health from air pollution? A systematic review and meta-analysis,16:48,Yes,,No,,Yes,,Yes,found in supplementary table ,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,Figure 2,No,,,17:03
Dakis-Yaoba Ouédraogo,s_16,Does Lead Have a Connection to Autism? A Systematic Review and Meta-Analysis,11:09,Yes,"End of section 2.5 ""Statistical analysis was performed using Comprehensive Meta-Analysis software (v. 3.0, Biostat Inc., Frederick, MD, USA).""",,The authors have used a GUI/click based software that does not produce a code (Comprehensive Meta-Analysis software),Yes,Figure 1 PRISMA flow diagram and text section 3.1,Yes,The number of effect sizes is the number of studies (one study = one effect size),Yes,Section 2.5,Yes,Section 2.5,Yes,Fig 2,Yes,Independence not explicitely reported but obvious as one effect size = one study,Yes,Fig 2,Yes,Fig 2,Yes,Fig 3,No,The quality/risk of bias assessment of the studies was not used in the meta-analysis,Yes,Table 1 and Fig 2,Yes,"Table 1, 2 and Fig 2",Hesitation on item 12 (sensitivity analysis reporting),11:43
Betina Kozlowsky Suzuki,s_16,Does Lead Have a Connection to Autism? A Systematic Review and Meta-Analysis,0:00,Yes,,,Comprehensive Meta-Analysis software,Yes,abstract,No,,No,,Yes,random-effects model,Yes,Fig 2,No,,Yes,Fig 2,Yes,section 2.5,Yes,Fig 3,No,,Yes,Table 1,,,Relatively straight forward. The authors carried out a Quality assessment. Time taken 33:51,0:00
Kyle Morrison,s_16,Does Lead Have a Connection to Autism? A Systematic Review and Meta-Analysis,13:01,Yes,,,CMAS - no code provided,Yes,,No,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,No,,Yes,,No,,,13:15
Zachary Simpson,s_16,Does Lead Have a Connection to Autism? A Systematic Review and Meta-Analysis,9:39,Yes,Comprehensive Meta-analysis Software v 3.0 in section 2.5,,"To my understanding, 'Comprehensive Meta-Analysis' doesn't output reproducible code.",Yes,"38 studies, shown in Figure 1 (PRISMA) and in sect. 3.1.",Yes,"Yes, can be inferred from Figure 2 (focused on the ""hair"" meta-analysis).",No,"Hedge's g is mentioned, but the reference given (44) is some other autism study and not a reference for the effect size stat.",Yes,"In section 2.5: ""All analyses were conducted using the random-effects model, since we expected the true effect sizes to vary across studies.""",Yes,"The authors state that they did, although it's not that explicit. Sampling errors are given for each study mean and they stated (section 2.5): ""We also calculated the relative weight of the study, which provided information on the contribution of each study to the overall summary results of our meta-analysis."" ",No,Not mentioned for 'hair' analysis.,Yes,In text and in Figure 2.,Yes,"I^2, Q, and tau^2 are given",Yes,"Authors used Egger's test, a rank correlation test, and given funnel plots (see section 2.6)",No,,No,"I count ""available upon reasonable request"" as a negative.",Yes,"Yes, section 2.3 (sex, age, etc.)","Since the study attempted to follow the PRISMA guidelines, it seems the MATES assessment was fairly straight-forward. The design was simple and followed well-enough, although there are likely nuances missing (e.g. no real analysis of the effect of moderators).",10:07
Shanika Nanayakkara,s_16,Does Lead Have a Connection to Autism? A Systematic Review and Meta-Analysis,13:40,Yes,"Pg 4, Statistical Analysis",No,No information available on the code/s used,Yes,Results section 3.1,No,,Yes,Statistical analysis section 2.5,Yes,Statistical analysis section 2.5,Yes,"Results sections 3.4, 3.5 and 3.6, Figures 3, 4 and 6. Reports that the relative weights were calculated but does not mention the method.",No,,Yes,Overall mean effects presented both in the text and the forest plots,Yes,Both in methods and the results sections,Yes,Presented using both text and funnel plots,No,,Yes,Table 1,Yes,,Spent 22 minutes to complete (does not include the reading time). It was straight forward and was easy to use.,14:02
Erin Macartney,s_17,Effect of rewetting degraded peatlands on carbon fluxes: a meta-analysis,15:08,No,,No,,Yes,,Yes,refer to it as n,Yes,,Yes,random-effects,Yes,,Yes,Don't explicitly state so but there are more effect sizes then studies so it's implied,Yes,in text,Yes,I2 intext,Yes,Fig. S2,No,,Yes,,No,,,15:17
Kyle Morrison,s_17,Effect of rewetting degraded peatlands on carbon fluxes: a meta-analysis,8:30,Yes,CMAS,,Click based software,Yes,,Yes,,Yes,,Yes,,No,,No,there are multiple effect sizes per study but does not acknowledge this as source of dependence.,Yes,text and forest plot - figure 3,Yes,I2,Yes,Egger's test,No,,No,some study characteristics but not extracted data for effect sizes ,No,,,8:33
Guang Hao,s_17,Effect of rewetting degraded peatlands on carbon fluxes: a meta-analysis,9:19,Yes,,,,Yes,,Yes,,Yes,,Yes,Model type reporting based on heterogeneity?,No,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,9:38
Kyle Morrison,s_18,Effect of soil amendments on trace element-mediated oxidative stress in plants: Meta-analysis and mechanistic interpretations,11:07,No,,,,Yes,,No,,Yes,,No,,No,,No,,No,,No,,No,,No,,No,,,,study isn't a normal meta-analysis - may exclude from analysis,11:14
Verónica Ferreira,s_18,Effect of soil amendments on trace element-mediated oxidative stress in plants: Meta-analysis and mechanistic interpretations,16:56,No,"Oddly, I could not find a referente to the sofware",No,,Yes,"Tables are provided in the supplementary material where number of studies can be counted, and a list of 42 studies is also provided in the supplementary material",Yes,'Based on these 3120 observations' and tables in the manuscript,Yes,Page 4,No,did not find reference to the model,No,,No,"'No' selected above, but from the tables in the supplementary amterial we can see that a given study contributes with multiple lines to the tables",No,"Often restuls are reported as % of positive and negative effect sizes, not magnitude, which is reported only for subgroup analyses",No,,No,,No,,No,No primary data reported,Yes,Tables in the supplementary material,"I found this meta-analysis quite odd, more intetested in 'vote-counting' positive and negative effect sizes than quantifying the magnitude of the combined effects",17:07
Kok Sin Woon,s_18,Effect of soil amendments on trace element-mediated oxidative stress in plants: Meta-analysis and mechanistic interpretations,15:47,No,I do not see any mention of the software,,The authors did not report the software used.,No,No primary studies are reported and no PRISMA model is conducted. ,Yes,"The authors mentioned the total number of plant response items. 

A total of 3120 response items of stress, tolerance and growth parameters were
collected from the literature (Section 4.1)",Yes,"The authors report the formula used for calculating the ""% change in the response items"" in Section 4.2",Yes,"The authors reported the structure of their meta-analytic process in Section 4.2 but did not state the type of meta-analytic/meta-regression model (fixed, random, or multi-level) used. 

A four-stage meta-analysis was performed as follows (Fig. 3). (Section 4.2)",Yes,"The authors used standard deviations (S.D.) in the analysis of the response items but did not state the sampling variance, sampling error, or weighting strategy used for the effect size estimates.

Descriptive statistics (mean, range and variance) of plant stress, tolerance and
growth parameters (reactive oxygen species, lipid peroxidation, electrolyte
leakage, enzymatic antioxidants, non-enzymatic antioxidants and pigment
contents) presented in Tables S2− S7. (Table 3)",Yes,"To further trace the specific trends in data, we analyzed and compared data for each type of amendment, trace element, plant species, plant organ and exposure culture. (Section 5.3.1)",Yes,"In the case of stress variables (ROS, lipid peroxidation, and electrolyte leakage), the mean % change in response items for all the trace elements and soil amendments was negative (−7%, −4%, and −22%, respectively) (Table 3). This proposes that the majority of the soil amendments have the capacity to alleviate trace element-mediated oxidative stress in plants. (Section 5.2)",No,,No,,No,,Yes,"The resulting database was then filtered using the individual keywords listed in Table S1. The filtered data have been presented as follows: ROS data in Table S2, lipid peroxidation in Table S3, electrolyte
leakage in Table S4, enzymatic antioxidants in Table S5, non-enzymatic
antioxidants in Table S6, and pigment contents in Table S7. A total of
3120 response items of stress, tolerance and growth parameters were
collected from the literature (Table 1). Out of these 3120 responses, 459,
489, 68, 1048, 343 and 714 response items were related to ROS, lipid
peroxidation, electrolyte leakage, enzymatic antioxidants, nonenzymatic antioxidants and pigment contents, respectively
(Tables S2− S7). (Section 4.1)",Yes,"Firstly, we selected three types of plant parameters (i) stress parameters
such as ROS, lipid peroxidation and electrolyte leakage, (ii) tolerance
parameters such as antioxidants, and (iii) growth parameters such as
pigment contents. (Section 4.1)

The key
response items include (i) H2O2 and O2 •− for ROS (ii) MDA and thiobarbituric acid reactive substances (TBARS) for lipid peroxidation (iii)
CAT, POD, SOD, APX, GPX, GR, GST for antioxidant enzymes, (iv)
proline, AsA, cysteine, thiol, flavonoid ascorbate, polyphenols for nonenzymic antioxidant, and (v) chlorophylls and carotenoids for pigment
contents. (Section 4.1)
","This study lacks transparency on several key aspects of meta-analysis reporting, such as software and code, quality assessment, heterogeneity, publication bias, sensitivity analysis, and dependency of effect size estimates. MATES can help to identify the weakness of the study accordingly. ",16:30
Jelaine Gan,s_18,Effect of soil amendments on trace element-mediated oxidative stress in plants: Meta-analysis and mechanistic interpretations,1335,No,,,,No,reported number of observations but not the number of studies,Yes,the number of observations was mentioned,No,I don't think they had an effect size measure; they did vote counting i think,No,,,,No,,No,,No,,No,,No,"subgroups were analysed, but not a sensitivity analysis",Yes,,Yes,,,13:52
Francesco Latterini,s_18,Effects of agricultural land types on microplastic abundance: A nationwide meta-analysis in China,10:26,Yes,reported at the end of M&M section,,"they used STATA, so there is no code as far as I know because it is click/based software",Yes,sub-section 2.1 M&M,Yes,sub-section 2.2 M&M,No,,Yes,sub-section 2.2 M&M,Yes,,No,,Yes,,Yes,,No,,No,,Yes,in the supplementary material,Yes,in the supplementary material,,10:41
Kyle Morrison,s_18,Effects of agricultural land types on microplastic abundance: A nationwide meta-analysis in China,14:19,Yes,,No,uses stata which can produce syntax ,Yes,,Yes,,No,,Yes,,Yes,,No,,Yes,,Yes,,No,,No,,Yes,,No,,,14:25
Mojtaba Keikha,s_18,Effects of agricultural land types on microplastic abundance: A nationwide meta-analysis in China,19:15,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,Yes,,Yes,,No,,No,,Yes,,Yes,,Thank you.,19:20
Silvina Magdalena Manrique,s_18,Effects of agricultural land types on microplastic abundance: A nationwide meta-analysis in China,19:28,Yes,"Meta-analysis was performed using the “metan” command in STATA 14.2
",No,,Yes,"Finally, a total of 28 articles met the analysis criteria.
",Yes,"Fig. S2 Abundance of MPs under the woodland soils. Solid patterns with error bars represent numerical effects and 95% confidence intervals respectively
",No,,Yes,"For the single-arm continuous data, a random effects model was used for the combined analysis.",No,,No,,Yes,"Fig. S2 Abundance of MPs under the woodland soils. Solid patterns with error bars represent numerical effects and 95% confidence intervals respectively
",Yes,The random effects model of the soil MPs dataset had significant residual heterogeneity I2 > 50%and p < 0.01.,No,,No,,Yes,"Table S2 Supplementary data for observation sites
",Yes,"Table S1 List of 28 valid papers included in this study for meta–analysis
",,19:38
Kiran T M,s_18,Effects of agricultural land types on microplastic abundance: A nationwide meta-analysis in China,12:47,Yes,Reported in Section 2.2,,The have used metan commond in STATA,Yes,Reported in method section 2.1. of the paper,Yes,mentioned in result section 3.1,No,Although they have mentioned the variaables enterd in the software but formula was not reported,Yes,Random effect model was used and reported in method section of the study,No,Not reported,No,Not reported,No,Not reported,Yes,reported in result section 3.2 ,No,,No,,No,Authors have not permission to share the data,,,This study satisfies the 6 out of 14 items of MATES,13:04
Kyle Morrrson,s_19,Effects of Biochar on Methane Emissions and Crop Yields in East Asian Paddy Fields: A Regional Scale Meta-Analysis,14:48,Yes,,No,spss has syntax,Yes,,No,,Yes,,No,,No,,No,,Yes,,No,,No,,No,,No,,,,,14:52
April Robin Martinig,s_19,Effects of Biochar on Methane Emissions and Crop Yields in East Asian Paddy Fields: A Regional Scale Meta-Analysis,11:59,Yes,SPSS and R were used,No,"SPSS is a point-and-click software, however they also used R and don't include the code from that part",Yes,,No,,Yes,,Yes,,Yes,They state they used a weighted response ratio.,No,,No,"Possibly in Table 3. I am not confident in my assessment of this question, however.",No,,No,,No,,No,"The authors state they have no data to make available: ""Data Availability Statement: Not applicable.""",,,,12:10
Kyle Morrison,s_19,Effects of Biochar on Methane Emissions and Crop Yields in East Asian Paddy Fields: A Regional Scale Meta-Analysis,14:35,Yes,,No,no code for R part or syntax for SPSS,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,No,,No,,No,,No,,,,,14:45
Coralie Williams,s_19,Effects of Biochar on Methane Emissions and Crop Yields in East Asian Paddy Fields: A Regional Scale Meta-Analysis,13:54,Yes,"The mean effect size of the dataset was analyzed using R software, and the 95% confidence interval (CI) was calculated to determine the statistical significance of any differences in the CH4 emissions and crop yield between the treatment and control groups.",No,,No,"I said ""no"" because it is not clear. Abstract says 43 studies included in meta-analysis whereas the Methods section says: ""Table 1 presents the 40 published studies that satisfied all of the above selection criteria.""",No,,Yes,ln(RR) formula and RR formula reported in Methods,No,,Yes,In methods,No,,Yes,"Figure 1, 2 and 3",No,,No,,No,,No,,,,This was quite a poor quality,14:10
Pietro Pollo,s_19,Effects of Biochar on Methane Emissions and Crop Yields in East Asian Paddy Fields: A Regional Scale Meta-Analysis,15:13,Yes,"Mentions ""The mean effect size of the dataset was analyzed using R software"" but not the package.",No,Not found,No,Not found,No,Not found,Yes,"Page 5, section 2.2",No,Not found,Yes,"Page 5, section 2.2, variance of effect sizes given",No,Not found,Yes,"Page 7, figure 1",No,Not found,No,Not found,No,"Some analyses with moderators included, but unsure whether this counts",No,Not found,,Data not given,,15:28
Dakis-Yaoba Ouédraogo,s_20,Effects of intercropping on soil greenhouse gas emissions - A global meta-analysis,10:50,Yes,section 2.2 (R 4.1.3),No,,Yes,Section 2.1,Yes,section 2.1,Yes,section 2.2,Yes,section 2.2,No,Weights reported graphically (Fig 4) but no values provided,Yes,"section 2.2 ""A random factor with a hierarchical dependence structure was introduced""",Yes,Fig 2,Yes,Table S2,Yes,Fig S2,No,,No,Effect size estimates showed graphically (Fig 4) but no values reported,,‘No’ for MATES item 13,,11:05
Kyle Morrison,s_20,Effects of intercropping on soil greenhouse gas emissions - A global meta-analysis,10:19,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,Yes,states the hierarchical dependence of data was accounted for using random effects ,Yes,,Yes,,Yes,,No,,No,,,,,10:26
Betina Kozlowsky Suzuki,s_20,Effects of intercropping on soil greenhouse gas emissions - A global meta-analysis,0:00,Yes,R software,No,,Yes,section 2.1,Yes,Fig 2 ,Yes,Section 2.2,Yes,mixed-effects model (section 2.2),No,,No,,Yes,Fig 2 and Table S3,Yes,Fig 3 and Table S2,Yes,Fig S2,No,,No,,,"The authors provide description of the extracted variables, but do not inform raw data.","It was quite easy and fast to find the needed information in this meta-analysis. The authors provide description of the extracted variables, but do not inform raw data. Appraisal time taken: 19:01 (19 minutes and 01 second).",19:01
Zachary Simpson,s_20,Effects of intercropping on soil greenhouse gas emissions - A global meta-analysis,9:47,Yes,"The various R packages used are reported in methods (e.g. 'metagear', 'metafor', and 'glmulti')",No,,Yes,Reported in 2nd paragraph of 2.1.,Yes,Number of paired observations (to create the response ratios or Hedges d) are given in 2.1.,Yes,,Yes,"Mixed effects model, with moderators as predictors (multiple models tested through selection procedure).",Yes,Hard to say if this counts as 'reported' or not. I'm siding with 'yes' since weights are technically visualised in Figure 4 as point size; authors did report how weights were assigned via sampling errors. The data itself isn't shown in full to see the actual weights.,Yes,Yes they at least implicitly acknowledge this.,Yes,Figure 2,Yes,"The authors report a Q stat, I^2, and tau^2... but I'm confused as to why they say it's ""for each moderator"". I thought such tests were primarily for the response / effect size of interest. Heterogeneity in moderators such as rainfall is... kind of a given.
Perhaps this could be marked 'no' since it doesn't seem appropriate.",Yes,Funnel plot given in Figure S2. ,No,Sensitivity per se isn't really addressed. The authors do break down responses by various moderators (grouping factors) but I don't think that gets at the point of sensitivity.,No,"""Data will be made available on request.""",Yes,Mentioned in the paragraph after eqn (1) and listed in Table S1. Details are sparse though.,"In terms of gathering interesting data, statistically testing various aspects of it, providing (fairly clear) detail, and actually discussing the meta-analysis with broader literature and its limitations/interpretation,  this meta-analysis is the highest quality of the 6 I've reviewed. (I know some of this has to do with the field of study compared to the other meta-analyses.) However, I don't think it's scoring any better than the others -- perhaps there are more dimensions to consider. Still, there are mistakes/oversights present: e.g. Figure 2 doesn't make clear what the responses actually are (they're in fact different effect sizes between the 3 GHG's), the coverage of the literature is highly questionable (Fig 1 shows many more studies in the authors' country but I happen to know that the spatial coverage is very suspect -- really, nothing in Oceania?), the moderator effects shown in Fig 3 don't really align with the model selection procedure described (why not show the moderator effects just for the 'selected' model?), multiple moderators could be causally confounded (e.g. irrigation likely relates a lot to climatic variables, yet this isn't addressed), no methodological variables are discussed (GHG measurements are diverse), and so on. Sorry for the long comment, I'm just thinking out loud about what I deem 'quality' in a meta-analysis and how we appraise it.",10:40
Shinichi Nakagawa,s_21,Effects of urbanisation on PM2.5 concentrations: A systematic review and meta-analysis,15:46,Yes,,No,,Yes,,No,,Yes,,Yes,,Yes,,No,,,,Yes,,Yes,,Yes,,No,,No,,,16:17
Kyle Morrison,s_21,Effects of urbanisation on PM2.5 concentrations: A systematic review and meta-analysis,13:35,Yes,,No,,Yes,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,,,13:40
